Model Name;Range (km);Efficiency (Wh/km);Fast Charge (km/h);Brand
Tesla Model Y Long Range Dual Motor;435;172;670;Tesla
Tesla Model 3;380;151;630;Tesla
Tesla Model Y ;345;167;580;Tesla
Tesla Model 3 Long Range Dual Motor;485;155;750;Tesla
BYD ATTO 3;320;188;300;BYD
MG MG4 Electric 64 kWh;365;169;450;MG
Tesla Model S Plaid;550;173;770;Tesla
BMW i4 eDrive40;470;172;730;BMW
BMW iX xDrive40;360;197;480;BMW
Tesla Model Y Performance;415;181;640;Tesla
Kia Niro EV ;380;171;380;Kia
BMW iX1 xDrive30;355;182;510;BMW
Mercedes EQS 450+;640;168;960;Mercedes
Mercedes EQE 350+;525;173;780;Mercedes
Hongqi E-HS9 99 kWh;355;254;410;Hongqi
BYD HAN ;465;178;450;BYD
Audi Q8 e-tron 55 quattro;495;214;670;Audi
Kia EV6 GT;370;200;970;Kia
Tesla Model S Dual Motor;570;167;790;Tesla
Lexus RZ 450e;310;206;460;Lexus
Skoda Enyaq iV 80;420;183;530;Skoda
BMW i7 xDrive60;510;199;760;BMW
Hyundai IONIQ 6 Long Range AWD;440;168;1150;Hyundai
Hyundai Kona Electric 64 kWh;395;162;370;Hyundai
Audi Q4 e-tron 40;405;189;510;Audi
Smart #1;350;183;520;Smart
Nissan Ariya 87kWh;445;196;530;Nissan
BMW iX xDrive50;505;208;680;BMW
Tesla Model 3 Performance;460;163;710;Tesla
Dacia Spring Electric 45;165;152;180;Dacia
BMW iX3;385;192;520;BMW
BMW i4 M50;435;186;670;BMW
Volkswagen ID. Buzz Pro;330;233;460;Volkswagen
BMW i4 eDrive35;400;168;540;BMW
Audi e-tron GT RS;405;210;1000;Audi
Renault Megane E-Tech EV60 220hp;360;167;500;Renault
MG ZS EV Long Range;365;187;410;MG
Fiat 500e Hatchback 42 kWh;235;159;390;Fiat
Mercedes EQC 400 4MATIC;370;216;440;Mercedes
BYD TANG ;350;240;330;BYD
Renault Zoe ZE50 R110;315;165;230;Renault
Kia EV6 Long Range 2WD;410;180;1070;Kia
Volkswagen ID.4 Pro;410;188;520;Volkswagen
Mercedes EQS 580 4MATIC;605;178;900;Mercedes
Hyundai IONIQ 6 Long Range 2WD;475;156;1240;Hyundai
MG MG4 Electric 51 kWh;300;169;340;MG
Peugeot e-208;285;158;460;Peugeot
Toyota bZ4X FWD;335;191;500;Toyota
Volkswagen ID.4 Pro Performance;410;188;520;Volkswagen
Hyundai Kona Electric 65 kWh;400;164;410;Hyundai
Fisker Ocean One;510;196;730;Fisker
Lucid Air Dream Edition R;685;172;870;Lucid
MG MG5 Electric Long Range;335;171;330;MG
Hyundai IONIQ 5 Long Range 2WD;390;190;1020;Hyundai
Nissan Leaf ;235;166;230;Nissan
Opel Astra Electric;310;164;500;Opel
Volkswagen ID.4 Pure;285;182;360;Volkswagen
Tesla Model X Plaid;455;209;630;Tesla
Skoda Enyaq iV 60;325;178;440;Skoda
Mini Cooper SE ;180;161;260;Mini
Audi Q8 e-tron Sportback 55 quattro;525;202;710;Audi
Hyundai IONIQ 6 Standard Range 2WD;360;150;880;Hyundai
Kia EV6 Long Range AWD;400;185;1050;Kia
BMW iX M60;485;217;650;BMW
